Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,24/02/18,Liverpool,West Ham,4,1,H,1,0,H,S Attwell
18,24/02/18,Watford,Everton,1,0,H,0,0,D,A Taylor
18,24/02/18,West Brom,Huddersfield,1,2,A,0,0,D,J Moss
18,25/02/18,Crystal Palace,Tottenham,0,1,A,0,0,D,K Friend
18,25/02/18,Man United,Chelsea,2,1,H,1,1,D,M Atkinson
18,1/3/2018,Arsenal,Man City,0,3,A,0,3,A,A Marriner
18,3/3/2018,Burnley,Everton,2,1,H,0,1,A,C Kavanagh
18,3/3/2018,Leicester,Bournemouth,1,1,D,0,1,A,L Probert
18,3/3/2018,Liverpool,Newcastle,2,0,H,1,0,H,G Scott
18,3/3/2018,Southampton,Stoke,0,0,D,0,0,D,A Taylor
18,3/3/2018,Swansea,West Ham,4,1,H,2,0,H,M Atkinson
18,3/3/2018,Tottenham,Huddersfield,2,0,H,1,0,H,K Friend
18,3/3/2018,Watford,West Brom,1,0,H,0,0,D,P Tierney
18,4/3/2018,Brighton,Arsenal,2,1,H,2,1,H,S Attwell
18,4/3/2018,Man City,Chelsea,1,0,H,0,0,D,M Oliver
18,5/3/2018,Crystal Palace,Man United,2,3,A,1,0,H,N Swarbrick
18,10/3/2018,Chelsea,Crystal Palace,2,1,H,2,0,H,A Taylor
18,10/3/2018,Everton,Brighton,2,0,H,0,0,D,R East
18,10/3/2018,Huddersfield,Swansea,0,0,D,0,0,D,M Oliver
18,10/3/2018,Man United,Liverpool,2,1,H,2,0,H,C Pawson
18,10/3/2018,Newcastle,Southampton,3,0,H,2,0,H,A Marriner
18,10/3/2018,West Brom,Leicester,1,4,A,1,1,D,R Madley
18,10/3/2018,West Ham,Burnley,0,3,A,0,0,D,L Mason
18,11/3/2018,Arsenal,Watford,3,0,H,1,0,H,M Atkinson
18,11/3/2018,Bournemouth,Tottenham,1,4,A,1,1,D,M Dean
18,12/3/2018,Stoke,Man City,0,2,A,0,1,A,J Moss
18,17/03/18,Bournemouth,West Brom,2,1,H,0,0,D,G Scott
18,17/03/18,Huddersfield,Crystal Palace,0,2,A,0,1,A,M Dean
18,17/03/18,Liverpool,Watford,5,0,H,2,0,H,A Taylor
18,17/03/18,Stoke,Everton,1,2,A,0,0,D,M Atkinson
18,31/03/18,Brighton,Leicester,0,2,A,0,0,D,C Kavanagh
18,31/03/18,Crystal Palace,Liverpool,1,2,A,1,0,H,N Swarbrick
18,31/03/18,Everton,Man City,1,3,A,0,3,A,P Tierney
